VehicleID,VIN,Plate_number,Model,Make,Year,Mileage,Color,Fuel_Type,Price_Per_Day,Availability
1,VIN829456,PLATE4867,Model S,Tesla,2017,159833,Red,Hybrid,96.51,No
2,VIN177257,PLATE4851,Mustang,Ford,2017,96404,Silver,Electric,63.65,No
3,VIN188013,PLATE4448,Civic,Honda,2021,81622,Blue,Diesel,109.06,No
4,VIN722531,PLATE1381,F-150,Ford,2022,166794,Blue,Hybrid,162.86,No
5,VIN497928,PLATE9818,Civic,Honda,2008,104704,Black,Gasoline,104.9,Yes
6,VIN798207,PLATE8418,CR-V,Honda,2012,85849,Red,Diesel,183.42,No
7,VIN990159,PLATE5516,Accord,Honda,2013,196625,White,Diesel,27.27,No
8,VIN722517,PLATE3293,RAV4,Toyota,2015,23380,Black,Diesel,153.44,No
9,VIN966806,PLATE3295,Model S,Tesla,2020,135383,White,Hybrid,180.56,Yes
10,VIN458103,PLATE4139,Camry,Toyota,2000,144836,Black,Electric,53.88,Yes
11,VIN333323,PLATE2652,F-150,Ford,2002,55241,Red,Electric,84.12,No
12,VIN542101,PLATE5438,Model 3,Tesla,2021,136916,Silver,Diesel,20.39,Yes
13,VIN192758,PLATE9176,CR-V,Honda,2023,11640,White,Diesel,157.4,No
14,VIN677294,PLATE4994,F-150,Ford,2006,82390,Blue,Gasoline,43.93,No
15,VIN193046,PLATE1209,Mustang,Ford,2012,59510,Blue,Hybrid,184.01,No
16,VIN872063,PLATE5503,Model S,Tesla,2000,89883,Red,Electric,182.5,No
17,VIN142305,PLATE9175,RAV4,Toyota,2021,116732,White,Diesel,57.19,No
18,VIN765427,PLATE7297,Model X,Tesla,2006,131245,White,Hybrid,76.46,Yes
19,VIN991807,PLATE8565,Mustang,Ford,2014,115345,Black,Electric,91.34,No
20,VIN724978,PLATE5591,Model X,Tesla,2008,69286,Silver,Hybrid,185.36,No
21,VIN793298,PLATE2535,Mustang,Ford,2002,132252,White,Diesel,57.07,No
22,VIN954892,PLATE9374,Model S,Tesla,2020,168150,White,Hybrid,112.55,Yes
23,VIN830456,PLATE4195,Model S,Tesla,2023,73711,Black,Gasoline,191.22,No
24,VIN877817,PLATE1633,Model X,Tesla,2002,21735,Silver,Electric,137.04,No
25,VIN343625,PLATE6323,Model S,Tesla,2004,185005,White,Electric,47.23,No
26,VIN994176,PLATE2195,CR-V,Honda,2018,188770,Silver,Gasoline,128.3,No
27,VIN288057,PLATE8852,Model S,Tesla,2006,21954,Black,Hybrid,139.63,Yes
28,VIN871860,PLATE6464,Escape,Ford,2012,13710,Black,Diesel,171.5,No
29,VIN164725,PLATE7278,Escape,Ford,2017,163733,Black,Hybrid,121.35,No
30,VIN255072,PLATE4118,Corolla,Toyota,2015,69203,White,Gasoline,56.49,No
31,VIN662267,PLATE4584,Civic,Honda,2019,105524,Silver,Hybrid,143.81,Yes
32,VIN168688,PLATE3474,Accord,Honda,2020,60498,Blue,Hybrid,159.69,No
33,VIN250478,PLATE5556,Escape,Ford,2005,167044,Blue,Gasoline,123.16,Yes
34,VIN788674,PLATE7781,Model S,Tesla,2021,46447,Red,Gasoline,105.54,No
35,VIN575601,PLATE6058,Model X,Tesla,2017,46082,Blue,Electric,181.45,Yes
36,VIN763401,PLATE7285,CR-V,Honda,2023,51225,White,Electric,22.42,Yes
37,VIN385635,PLATE6262,Corolla,Toyota,2017,19581,White,Electric,156.83,Yes
38,VIN120306,PLATE4828,Escape,Ford,2010,182155,Black,Diesel,194.65,Yes
39,VIN574974,PLATE5718,Corolla,Toyota,2019,149523,Blue,Gasoline,98.58,Yes
40,VIN956129,PLATE8951,Model 3,Tesla,2006,78209,White,Gasoline,49.34,Yes
41,VIN597801,PLATE5687,Model 3,Tesla,2007,89869,White,Gasoline,180.15,No
42,VIN549998,PLATE8143,Corolla,Toyota,2005,143716,White,Diesel,114.82,No
43,VIN430106,PLATE3593,Camry,Toyota,2021,160023,Red,Gasoline,91.09,No
44,VIN104354,PLATE1534,Model 3,Tesla,2003,42550,White,Gasoline,161.01,No
45,VIN123905,PLATE3261,Accord,Honda,2004,176780,Blue,Gasoline,30.42,Yes
46,VIN375373,PLATE2897,Escape,Ford,2014,61736,Black,Hybrid,160.62,No
47,VIN823008,PLATE2637,CR-V,Honda,2010,41807,Black,Gasoline,123.98,Yes
48,VIN731445,PLATE8512,Model S,Tesla,2017,77797,Black,Hybrid,78.4,No
49,VIN359836,PLATE1448,F-150,Ford,2003,48237,White,Electric,45.74,Yes
50,VIN696462,PLATE3317,RAV4,Toyota,2004,71419,Black,Gasoline,49.45,No
